,Position,Company,Location,clean
0,Kinaxis Application Developer,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Application Developer Project Role Description Design build and configure applications to meet business process and application requirements Management Level 9 Work Experience 6 8 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities We are looking for talented people with entrepreneurial drive to join our growing team of Test Consultant Test Consultant Kinaxis responsibility to develop automated manual test cases to deliver Kinaxis solutions that accelerate the system implementation deliver a high quality test case to customers and deploy testing best practices and efficient test strategies You should be familiar with testing enterprise grade software at scale to validate solutions with massive impact Technical Experience Well experienced in Integration and Administrator level Jobs of Rapid Response like mapping files to RR environment creating customized table definition data update sync DIS data with PS monitoring Automation Log setting tolerance level for data update Working experience with the client in the design development and testing of the supply chain implementation projects and clearly understand clients requirements and design apt solutions by considering the inbuilt as well as configurable Professional Attributes Excellent communication and interpersonal skills to interact with internal and external stakeholders with a capacity to present discuss and explain issues coherently and logically both in writing and verbally Hands on experience to configure the supply chain product and customize the solution Educational Qualification BTech BE MCA University degree prefer IT Supply Chain Business school or industrial engineering Additional Information Open to travel short long term Kinaxis certifications a plus Analyze large amount of data R 15 years of full time education
1,Clinical - SDTM Programming Senior Analyst,Accenture in India,"Bengaluru, Karnataka, India",Skill required Clinical SDTM Programming Designation Data Management Senior Analyst Job Location Bengaluru Qualifications Any Graduation Years of Experience 5 7 Years About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at www accenture com What would you do You will be aligned with our Life Sciences R D vertical Our services span across the entire life sciences enterprise from research laboratories clinical trials support and regulatory services to pharmacovigilance and patient services solutions Employees under this span will be a part of one of the sub offerings Clinical Pharmacovigilance Regulatory helping the world s leading biopharma companies bring their vision to life enabling them to improve outcomes by converging around the patient connecting scientific expertise with unique insights into the patient experience You will be working as a part of the Study Startup team which is responsible for Project Initiation Planning Implementation Control Evaluation and Close Out activities which includes initiation of trial capacity trial setup activities etc In this role you will be expected to program mapping of eCRF and external data into SDTM standards using SAS ETL tools as applicable What are we looking for We are looking for individuals who have the following skillset SQL Structured Query Language Adaptable and flexible Ability to perform under pressure Problem solving skills Detail orientation Ability to establish strong client relationship Agility for quick learning Ability to work well in a team Strong analytical skills Ability to manage multiple stakeholders Roles And Responsibilities In this role you are required to analyze and solve lower complexity problems Your day to day interaction is with peers within Accenture before updating supervisors You may have limited exposure with clients and or Accenture management You will be given moderate level instructions on daily work tasks and detailed instructions on new assignments You will need to be well versed with basic statistics and terms involved in the day to day business and use it while discussing with stakeholders You will be expected to constantly be on the lookout for ways to enhance value for your respective stakeholders clients The decisions you make impact your work and may impact the work of others You will be an individual contributor as a part of a team with a focused scope of work Any Graduation
2,Ping Identity Solutions Security Architect,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Security Architect Project Role Description Define the security architecture ensuring that it meets the business requirements and performance goals Management Level 10 Work Experience 4 6 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities 1 Ability to understand the complexity of applications to be integrated 2 Working with Application owners to get the required details to onboard the application for SSO 3 Plan Design and make the build to meet the timelines 4 Guide the juniors to meet deliverables and also report to the client and leadership team on progress Technical Experience 1 six years of Experience with installation configuration customization and design of Ping Identity AM implementation solutions 2 Ability to Setup Troubleshoot Configure Ping Identity products 3 Able to quickly onboard applications into Ping access for SSO using web agent SAML OIDC or Oauth methods 4 Able to onboard apps for MFA Federation Professional Attributes 1 Quick learner team player and self starter 2 Good Articulation and presentation skills Educational Qualification BE or MCA or MSc with a good Computer Science Background with a good academic record of 65 and above Additional Information This is for Implementation and Build 15 years of full time education
3,PL/ SQL Developer,NR Consulting,"Bengaluru, Karnataka, India",Detailed JD Develop procedure and functions using PL SQL Sound knowledge of SQL and PL SQL with good understanding of relational database management systems of Oracle 12c Possess solid experience of creating PL SQL packages procedures triggers functions views as well as expertise in checking and migrating complex data sets Extensive knowledge of writing PL SQL Triggers Functions Views Cursors Stored Procedures and Exceptions in Oracle 12c Knowledge of new Oracle features in Oracle 12c related to procedures and functions Maintain documentation and standards Perform general technical trouble shooting and give consultation whenever required Should be a good team player Should be able to work independently in customer facing roles Should be able to visulalize customer business issues and suggest solutions Have worked with development for Integration of data to other Software s Location Pune candidate should be currently residing in Pune or be willing to relocate to Pune CBR as per market rates NP Immediate to 20 days Pos 5 Exp 4 6 years
4,Red Hat OS Administration Infra Tech Support Practitioner,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Infra Tech Support Practitioner Project Role Description Provide ongoing technical support and maintenance of production and development systems and software products both remote and onsite and for configured services running on various platforms operating within a defined operating model and processes Provide hardware software support and implement technology at the operating system level across all server and network areas and for particular software solutions vendors brands Work includes L1 and L2 basic and intermediate level troubleshooting Management Level 11 Work Experience 2 5 4 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities A Proactively maintain and develop all Linux infrastructure technology to maintain a 24x7x365 uptime service B Engineering of systems administration related solutions for various project and operational needs C Maintain best practices for managing systems and services across all environments D Fault finding analysis and logging information for reporting performance exceptions E Proactively monitoring system performance and capacity planning Technical Experience A Should have 4 to 6 years of Expertise in RedHat Linux administration B IN depth knowledge of Linux RedHat CentOS Debian etc C Familiarity with VMWare and SAN management and concepts D Expert in Shell Perl and or Python scripting E Solid knowledge of protocols such as DNS HTTP LDAP SMTP and SNMP F Additional Linux certifications RHCT RHCE and LPIC will be considered an advantage G Should have experience with the Red Hat ecosystem tools like Ansible Satellite etc Professional Attributes A Good verbal and written communication skills to connect with customers at varying levels of the organization B Ability to operate independently and make decisions with little direct supervision Educational Qualification A 15 years of full time education Additional Information A Redhat Certification 15 years of full time education
5,Advanced Embedded System Engineering Advanced Application Engineer,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Advanced Application Engineer Project Role Description Utilize modular architectures next generation integration techniques and a cloud first mobile first mindset to provide vision to Application Development Teams Work with an Agile mindset to create value across projects of multiple scopes and scale Management Level 8 Work Experience 8 10 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities For the design development debugging etc take a thorough data driven approach explaining logically the direct technical point with a clear outcome Build deep knowledge of embedded software development and attitude to learn and contribute to computational technologies Able to design and build robust solutions in AOSP Android Architecture Android Stack Android Framework Android HAL Layer Build and innovate on new technologies within this domain Technical Experience Overall 7 years of working experience in industry with 4 years in Automotive Infotainment and Android IVI middleware Deep expertise in CPP Programming and specifically CPP11 CPP14 Experience with AAOS Android Automotive Operating System Knowledge on Automotive Linux Knowledge on multi zone audio system camera video graphics with Android VHAL Professional Attributes Good communication and interpersonal skills Educational Qualification Bachelors of engineering in Computer Science or any other stream 15 years of full time education
6,Microsoft Azure Analytics Services Application Lead,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Application Lead Project Role Description Lead the effort to design build and configure applications acting as the primary point of contact Management Level 9 Work Experience 6 8 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities A Function as the Lead Data Architect for a small simple project proposal or as a team lead for medium large sized project or proposal B Discuss specific Big data architecture and related issues with client architect team in area of expertise C Analyze and assess the impact of the requirements on the data and its lifecycle D Lead Big data architecture and design medium big Cloud based Big Data and Analytical Solutions using Lambda architecture E Breadth of experience in various client scenario Technical Experience A Strong experience in Azure is preferred with hands on experience in two or more of these skills Azure Synapse Analytics Azure HDInsight Azure Databricks with PySpark Scala SparkSQL Azure Analysis Services B Experience in handling medium to large Big Data implementations C Candidate must have 5 6 years of IT experience and around 3 years of Big data experience design build Professional Attributes A Should be able to drive the technology design meetings propose technology design and architecture B Should have excellent client communication skills C Should have good analytical and problem solving skills Educational Qualification A Must have BE BTech MCA B Good to have ME MTech Additional Information project is looking for 60 match for these demands 15 years of full time education
7,Bus Process Delivery Associate-Risk and compliance,Accenture in India,"Bengaluru, Karnataka, India",Skill required Risk and compliance Risk Management Designation Management Level Associate Job Location Bengaluru Qualifications Any Graduation Years of Experience 1 to 3 years About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at www accenture com What would you do The Software and Platform vertical helps the world s leading platform companies accelerate scale and improve their businesses as their most trusted innovative comprehensive and experienced partner You will be working as a part of the Risk compliance team which is responsible for helping clients and organizations identify risks and create mitigation plans In Risk Management you will be responsible for anticipating plan for and react to risks and issues to the project including categorizing their severity taking into account the likelihood of occurrence mitigation contingency planning You will be expected to follow an agile approach that builds risk management into scrum roles artifacts and events and helps in continuous project delivery What are we looking for Know Your Customer KYC Operations Ability to meet deadlines Adaptable and flexible Agility for quick learning Written and verbal communication Roles And Responsibilities In this role you are required to solve routine problems largely through precedent and referral to general guidelines Your expected interactions are within your own team and direct supervisor You will be provided detailed to moderate level of instruction on daily work tasks and detailed instruction on new assignments The decisions that you make would impact your own work You will be an individual contributor as a part of a team with a predetermined focused scope of work Please note that this role may require you to work in rotational shifts Any Graduation
8,Splunk Security Information and Event Management (SIEM) Security Delivery Practitioner,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Security Delivery Practitioner Project Role Description Assist in defining requirements designing and building security components and testing efforts Management Level 10 Work Experience 4 6 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities 1 He She will be responsible for the development and sustainment of the application landscape 2 Must be capable of working independently collaboratively as he she will be the day to day service integrator in the IT Service Operations organization 3 Will be supporting Delivery Management to provide effective services and contribute to Top Quartile performance in costs and processes 4 End to End accountable for the operations of the landscapes and delivery of the E2E application service SLA Technical Experience 1 Knowledge of Linux RHEL 2 Knowledge on Jira Git Github Jenkins Selenium Ansible Chef Puppet VSTS one or more 3 Good understanding of the entire IT Infrastructure stack including troubleshooting 4 Working knowledge on Splunk RHEL AWS and or Azure is bonus 5 Hands on experience with Azure Devops or GitExpert in automating deployments and test cases with Azure Devops or equivalent 6 Experience in troubleshooting Azure Devops agent issues Professional Attributes 1 Should be comfortable in shifts 2 Work from office based on business requirements 3 Should be able to work independently without any assistance Educational Qualification Bachelor or college degree in related field or equivalent work experience Additional Information Having certifications such as Splunk RHEL AWS and or Azure etc 15 years of full time education
9,QA Engineer | Bangalore,Eastvantage,"Bengaluru, Karnataka, India",Location Bangalore India Contract Type Permanent About The Role Understand the project test requirements Execute and evaluate automated test cases suites and report test results to ensure that system functionality satisfies acceptance criteria Create and maintain automation scripts using the Robot Framework Help create acceptance criteria for user stories Log bug reports based on test execution Collaborate with the development team to prioritize test scenarios Collaborate with the development team to perform root cause analysis Position Requirements Knowledgeable in Software Automation using RobotFramework Experience working in an Agile environment using Scrum or Kanban Experience with REST API testing Understanding the differences between JSON YAML and XML A passion for software product quality assurance with a positive mindset and good communication skills Experience testing web applications and different types of testing approaches Experience in tests risk management Understanding different testing environments Familiarity with Test Pyramid would be great Experience in using GIT repositories would be great Keen eye to detail Experience working with JIRA would be nice to have Having a basic understanding of Javascript and Python would be nice but not required Other duties assigned apply now
